method,classifier,status,n_subjects,n_asd,n_control,n_features,n_splits,accuracy,accuracy_fold_mean,accuracy_fold_std,balanced_accuracy,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,auc,auc_fold_mean,auc_fold_std,f1,f1_fold_mean,f1_fold_std,precision,precision_fold_mean,precision_fold_std,recall,recall_fold_mean,recall_fold_std,specificity,specificity_fold_mean,specificity_fold_std,matrix_plot,note
graphical_lasso,rf,ok,723,329,394,4950,5,0.607192254495159,0.6070035892411751,0.01056849396093822,0.5859395491645195,0.5994228908946468,0.032917544560595334,0.6858693471988644,0.7205534236256786,0.0704088845986492,0.4474708171206226,0.4520679945430516,0.05491417541811092,0.6216216216216216,0.6832484151555359,0.16191990797006575,0.3495440729483283,0.3505871212121212,0.07624512857205223,0.8223350253807107,0.8482586605771724,0.1014954053219848,resultados\pipeline_schaefer_100_all_valid_100rois_tp146\matriz_promedio_graphical_lasso.png,
pearson,svm,ok,723,329,394,4950,5,0.6473029045643154,0.6441959368019974,0.04982208116158889,0.640041349729221,0.6478470241570287,0.04013176292886903,0.6740275870581519,0.7170136434950409,0.07776090633805333,0.5906902086677368,0.589364482185669,0.03232145257432027,0.6258503401360545,0.6734797339185637,0.131793395567676,0.5592705167173252,0.5440643939393939,0.07183362285660047,0.7208121827411168,0.7516296543746634,0.13058097909675592,resultados\pipeline_schaefer_100_all_valid_100rois_tp146\matriz_promedio_pearson.png,
pearson,rf,ok,723,329,394,4950,5,0.6127247579529738,0.6158427969238158,0.052753400918454145,0.5952779534969836,0.6156311776547712,0.04159631385276055,0.6500393439587737,0.7022226996574207,0.09050615510955846,0.4852941176470588,0.48869733285830674,0.08930202436303794,0.6139534883720931,0.6894275013376138,0.14352215756319703,0.4012158054711246,0.4071969696969697,0.14049558502780388,0.7893401015228426,0.8240653856125725,0.12531676820298054,resultados\pipeline_schaefer_100_all_valid_100rois_tp146\matriz_promedio_pearson.png,
graphical_lasso,svm,ok,723,329,394,4950,5,0.5394190871369294,0.5550946045675524,0.05077569461758995,0.5403044142378843,0.5691983824176428,0.05205912788358437,0.5934650455927052,0.6553365962153394,0.09836169122522055,0.520863309352518,0.5253236338229326,0.09924008497074183,0.49453551912568305,0.5541967465730031,0.13600586638746406,0.5501519756838906,0.5587007575757574,0.22880366770850527,0.5304568527918782,0.5796960072595281,0.23455415672153987,resultados\pipeline_schaefer_100_all_valid_100rois_tp146\matriz_promedio_graphical_lasso.png,
lingam,svm,ok,723,329,394,9900,5,0.5394190871369294,0.5260117341944015,0.06731349389118234,0.49918612006850477,0.5046189053686785,0.007817510653369953,0.44280468424544467,0.4757356810989978,0.04043285910786541,0.09264305177111716,0.10002110658827075,0.1123934842750887,0.4473684210526316,0.3333333333333333,0.3197221015541813,0.05167173252279635,0.06352272727272727,0.0739863491150354,0.9467005076142132,0.9457150834646297,0.0716681727801931,resultados\pipeline_schaefer_100_all_valid_100rois_tp146\matriz_promedio_lingam.png,
lingam,rf,ok,723,329,394,9900,5,0.48409405255878285,0.4793167005554542,0.04307476214581432,0.46121148535016127,0.48326149138218105,0.028467702369018966,0.4376243963402404,0.4598401623331297,0.084308179978745,0.26719056974459726,0.19296388542963885,0.17917544113727765,0.37777777777777777,0.32233542319749214,0.19091390049585508,0.2066869300911854,0.17334848484848484,0.18316814496429296,0.7157360406091371,0.7931744979158772,0.19807998276270822,resultados\pipeline_schaefer_100_all_valid_100rois_tp146\matriz_promedio_lingam.png,
